,filename,levels,openings,fraction_areas,fraction_widths,avg_fraction_widths,fraction_heights,aggregate_fraction_heights,img_widths,img_heights
0,IMG_20180925_124211.jpg,3,8,0.09064141087278106,0.42788461538461536,0.33197115384615383,0.6794871794871795,1.1153846153846154,4160,3120
1,IMG_20180925_124235.jpg,1,2,0.006328548754930967,0.1221153846153846,0.1221153846153846,0.19831730769230768,0.19831730769230768,3120,4160
2,IMG_20180925_124409.jpg,1,0,0.0,0.0,0.0,0.0,0.0,3120,4160
3,IMG_20180925_130015.jpg,2,5,0.04668431028106509,0.4889423076923077,0.3576923076923077,0.15256410256410258,0.4304487179487179,4160,3120
4,IMG_20180925_130219.jpg,2,6,0.1003353827662722,0.8663461538461539,0.9416666666666668,0.4384615384615385,0.6908653846153846,3120,4160
5,IMG_20180925_130915.jpg,1,0,0.0,0.0,0.0,0.0,0.0,3120,4160
6,IMG_20180925_134413.jpg,2,5,0.06904763005424062,0.4605769230769231,0.3038461538461538,0.4233974358974359,0.6323717948717948,4160,3120
7,IMG_20180925_134459.jpg,1,5,0.03208368004191321,0.4541666666666666,0.7794871794871795,0.3057692307692308,0.4627403846153846,3120,4160
8,IMG_20180925_135324.jpg,2,8,0.1064514762080868,0.6764423076923077,0.59375,0.4012820512820513,1.1298076923076923,4160,3120
9,IMG_20180925_135358.jpg,1,1,0.004062615569526629,0.08870192307692308,0.08870192307692308,0.0,0.07692307692307693,4160,3120
10,IMG_20180925_135637_HDR.jpg,2,5,0.0947696314102564,0.4576923076923077,0.2877403846153846,0.4987179487179487,1.042948717948718,4160,3120
11,IMG_20180925_135714_HDR.jpg,2,8,0.03854305350098619,0.5086538461538461,0.3010817307692308,0.4096153846153846,0.8939102564102565,4160,3120
12,IMG_20180925_140124_HDR.jpg,2,10,0.10530225283530573,0.6814903846153846,0.6229567307692307,0.5317307692307692,1.0717948717948718,4160,3120
13,IMG_20180925_140446_HDR.jpg,1,5,0.0540435080744576,0.4016826923076923,0.4317307692307693,0.6025641025641025,0.9144230769230768,4160,3120
14,IMG_20180925_140522_HDR.jpg,1,0,0.0,0.0,0.0,0.0,0.0,3120,4160
15,IMG_20180925_141621_HDR.jpg,2,8,0.03902027859960552,0.4858173076923077,0.3092548076923077,0.6823717948717949,1.015384615384615,4160,3120
16,IMG_20180925_141718.jpg,2,6,0.1359493266148915,0.5060096153846154,0.34447115384615384,0.8121794871794872,1.430448717948718,4160,3120
17,IMG_20180925_141734.jpg,2,6,0.12294216900887575,0.6098557692307692,0.4246394230769231,0.6163461538461539,1.3987179487179486,4160,3120
18,IMG_20180925_141930_HDR.jpg,2,7,0.05846203926282052,0.65,0.41875,0.4413461538461538,0.8958333333333334,4160,3120
19,IMG_20180925_141934_HDR.jpg,2,3,0.01711160934418146,0.4201923076923077,0.2301282051282051,0.16370192307692308,0.1858173076923077,3120,4160
20,IMG_20180925_141949.jpg,1,5,0.04254653599605523,0.4576923076923077,0.6572115384615385,0.675,0.9477564102564102,4160,3120
21,IMG_20180925_142030_HDR.jpg,4,9,0.17461322731755424,0.8088942307692307,0.34026442307692306,0.6317307692307692,1.8958333333333333,4160,3120
22,IMG_20180925_142233_HDR.jpg,2,3,0.0929454820019724,0.7973557692307692,0.4527644230769231,0.09230769230769233,0.33974358974358976,4160,3120
23,IMG_20180925_142248_HDR.jpg,2,5,0.14516376201923076,0.8554487179487179,0.7568910256410256,0.31177884615384616,0.7151442307692307,3120,4160
24,IMG_20180925_142306_HDR.jpg,1,6,0.021438339805226823,0.4048076923076923,0.5352564102564102,0.3490384615384615,0.4189903846153846,3120,4160
25,IMG_20180925_142347_HDR.jpg,1,2,0.023844767011834318,0.19447115384615385,0.21346153846153845,0.3012820512820513,0.3948717948717949,4160,3120
26,IMG_20180925_142357_HDR.jpg,1,4,0.03401349852071006,0.2278846153846153,0.4788461538461538,0.2668269230769231,0.38822115384615385,3120,4160
27,IMG_20180925_142406_HDR.jpg,1,1,0.023051497781065088,0.11089743589743588,0.11089743589743588,0.0,0.290625,3120,4160
28,IMG_20180925_142416_HDR.jpg,2,3,0.04314430011094675,0.6074519230769231,0.3194711538461538,0.1875,0.3419871794871795,4160,3120
29,IMG_20180925_142610_HDR.jpg,2,4,0.05588275856755424,0.6496794871794872,0.6727564102564103,0.20793269230769232,0.31971153846153844,3120,4160
30,IMG_20180925_142623_HDR.jpg,1,1,0.003321776380670612,0.1282051282051282,0.1282051282051282,0.0,0.046875,3120,4160
31,IMG_20180925_142641_HDR.jpg,1,5,0.022217702169625247,0.5733974358974359,0.7519230769230769,0.10480769230769232,0.31634615384615383,3120,4160
32,IMG_20180925_142653_HDR.jpg,1,3,0.022007596770216964,0.1954326923076923,0.3504807692307692,0.09102564102564102,0.3134615384615385,4160,3120
33,IMG_20180925_142706_HDR.jpg,1,6,0.01678728272928994,0.38100961538461536,0.5336538461538461,0.2483974358974359,0.3512820512820513,4160,3120
34,IMG_20180925_142723_HDR.jpg,2,7,0.0731156388683432,0.7105769230769231,0.7349358974358975,0.3721153846153846,0.5569711538461538,3120,4160
35,IMG_20180925_142808_HDR.jpg,2,10,0.08582343287721894,0.4782051282051282,1.0024038461538465,0.5600961538461539,0.7213942307692308,3120,4160
36,IMG_20180925_142813_HDR.jpg,1,6,0.03201449241863905,0.31666666666666665,1.0137820512820512,0.3045673076923077,0.3740384615384616,3120,4160
37,IMG_20180925_142843_HDR.jpg,2,4,0.1444161427514793,0.7275641025641025,0.5690705128205128,0.4627403846153846,0.8685096153846154,3120,4160
38,IMG_20180925_142900_HDR.jpg,1,4,0.03944719243096647,0.4288461538461538,0.7387019230769231,0.4378205128205128,0.4775641025641026,4160,3120
39,IMG_20180925_142910_HDR.jpg,2,4,0.053912798939842216,0.5983173076923077,0.3231971153846154,0.296474358974359,0.4035256410256409,4160,3120
40,IMG_20180925_142921_HDR.jpg,1,6,0.016823533037475344,0.35897435897435903,0.5467948717948717,0.2867788461538461,0.3305288461538461,3120,4160
41,IMG_20180925_142941_HDR.jpg,1,4,0.057053092640532536,0.3769230769230769,0.464423076923077,0.5199519230769231,0.6778846153846154,3120,4160
42,IMG_20180925_143008_HDR.jpg,1,6,0.044387558555226816,0.434375,0.4454326923076923,0.21346153846153845,0.6948717948717948,4160,3120
43,IMG_20180925_143014_HDR.jpg,1,9,0.0764831037352071,0.7644230769230769,1.1689102564102565,0.5387019230769231,1.1778846153846154,3120,4160
44,IMG_20180925_143032_HDR.jpg,1,8,0.13546154616617356,0.8368589743589744,1.3939102564102563,0.7225961538461538,1.3651442307692307,3120,4160
45,IMG_20180925_143046_HDR.jpg,2,4,0.025600845968934912,0.4235576923076923,0.21177884615384607,0.2948717948717949,0.5676282051282051,4160,3120
46,IMG_20180925_143233_HDR.jpg,1,3,0.018204665927021697,0.21346153846153845,0.21346153846153845,0.22564102564102564,0.375,4160,3120
47,IMG_20180925_143642_HDR.jpg,2,4,0.03480137450690336,0.2588942307692308,0.18221153846153845,0.4288461538461538,0.5403846153846154,4160,3120
48,IMG_20180925_143721_HDR.jpg,1,2,0.0350961153229783,0.6538461538461539,0.6538461538461539,0.0,0.14759615384615385,3120,4160
49,IMG_20180925_143815_HDR.jpg,2,4,0.021802884615384616,0.2923076923076923,0.1840144230769231,0.29262820512820514,0.3926282051282051,4160,3120
50,IMG_20180925_143830_HDR.jpg,1,8,0.04086935250246549,0.6254807692307692,0.6923076923076923,0.4442307692307692,0.6426282051282052,4160,3120
51,IMG_20180925_143850_HDR.jpg,2,12,0.0909509445882643,0.5134615384615384,0.5150641025641025,0.5451923076923076,1.2259615384615383,3120,4160
52,IMG_20180925_144109.jpg,1,3,0.016375392936390534,0.2456730769230769,0.3038461538461538,0.2362179487179487,0.2362179487179487,4160,3120
53,IMG_20180925_144113_HDR.jpg,1,3,0.01813093256903353,0.3544871794871795,0.3980769230769231,0.2057692307692308,0.26875,3120,4160
54,IMG_20180925_144132_HDR,1,1,0.005957300912228796,0.13413461538461538,0.13413461538461538,0.08205128205128205,0.08205128205128205,4160,3120
55,IMG_20180925_144138.jpg,1,4,0.0235668608234714,0.3314102564102564,0.4804487179487179,0.20961538461538465,0.3367788461538462,3120,4160
56,IMG_20180925_144158_HDR.jpg,2,5,0.17046570666913216,0.8016025641025641,0.6371794871794871,0.2305288461538461,0.684375,3120,4160
57,IMG_20180925_144218_HDR.jpg,2,8,0.07170580621301775,0.7580128205128205,0.4721153846153846,0.6497596153846154,1.0355769230769232,3120,4160
58,IMG_20180925_144228.jpg,2,7,0.13913076306706115,0.8612980769230769,1.0135817307692307,0.5157051282051283,0.5272435897435898,4160,3120
59,IMG_20180925_144243_HDR.jpg,2,2,0.006090822238658778,0.3147435897435897,0.1951923076923077,0.009375,0.08942307692307692,3120,4160
60,IMG_20180925_144251_HDR.jpg,1,5,0.036925311267258384,0.4716346153846154,0.5956730769230769,0.1807692307692308,0.8342948717948718,4160,3120
61,IMG_20180925_144305.jpg,1,3,0.020882219243096647,0.28846153846153844,0.5855769230769231,0.16778846153846153,0.21754807692307693,3120,4160
62,IMG_20180925_144358_HDR.jpg,2,6,0.1848041481755424,0.5915865384615384,0.3269230769230769,0.6862179487179487,1.864102564102564,4160,3120
63,IMG_20180925_144422_HDR.jpg,2,3,0.14890663523175546,0.7384615384615385,0.6427884615384616,0.3382211538461539,0.4209134615384616,3120,4160
64,IMG_20180925_144440_HDR.jpg,2,6,0.04520582932692308,0.7576923076923077,0.7102163461538461,0.48397435897435903,0.7615384615384615,4160,3120
65,IMG_20180925_144447_HDR.jpg,3,6,0.02518024993836292,0.5021634615384616,0.29423076923076924,0.43397435897435904,0.4432692307692308,4160,3120
66,IMG_20180925_144448.jpg,2,4,0.0772083025147929,0.4016826923076923,0.2932692307692308,0.28557692307692306,0.7166666666666667,4160,3120
67,IMG_20180925_144504_HDR.jpg,1,6,0.08704677483974359,0.7772435897435898,1.0923076923076922,0.4317307692307693,0.8764423076923077,3120,4160
68,IMG_20180925_144508.jpg,4,13,0.17147790310650887,0.8173076923076923,0.4350360576923077,0.8474358974358974,2.025641025641025,4160,3120
69,IMG_20180925_144527.jpg,2,7,0.06534197022928995,0.3704326923076923,0.24122596153846154,0.5016025641025641,1.3022435897435898,4160,3120
70,IMG_20180925_144537.jpg,1,5,0.0680450644107495,0.4448717948717949,0.5291666666666667,0.759375,0.8206730769230769,3120,4160
71,IMG_20180925_144547.jpg,1,6,0.05065300634861933,0.7618589743589743,0.7903846153846154,0.3975961538461538,0.6956730769230769,3120,4160
72,IMG_20180925_144559_HDR.jpg,1,6,0.019222871979783042,0.26298076923076924,0.3918269230769231,0.3147435897435897,0.5022435897435897,4160,3120
73,IMG_20180925_144602.jpg,2,4,0.048276627218934914,0.21586538461538465,0.18245192307692307,0.3788461538461538,0.6567307692307692,4160,3120
74,IMG_20180925_144611.jpg,1,3,0.038691752958579885,0.2733173076923077,0.2733173076923077,0.25993589743589746,0.5448717948717948,4160,3120
75,IMG_20180925_144630.jpg,2,5,0.05723284177761341,0.5206730769230771,0.3264423076923077,0.33621794871794874,0.7439102564102564,4160,3120
76,IMG_20180925_144730_HDR.jpg,2,7,0.0675537783530572,0.5365384615384615,0.4064903846153846,0.3301282051282051,0.8016025641025641,4160,3120
77,IMG_20180925_144748_HDR.jpg,2,8,0.03967139731262327,0.6009615384615384,0.5112179487179487,0.40024038461538464,0.6216346153846154,3120,4160
78,IMG_20180925_144807_HDR.jpg,2,6,0.0356884091469428,0.4253205128205128,0.3027243589743589,0.3759615384615385,0.6334134615384616,3120,4160
79,IMG_20180925_144829_HDR.jpg,1,7,0.06394492726824458,0.5790865384615385,0.6903846153846154,0.4695512820512821,1.0663461538461538,4160,3120
80,IMG_20180925_144853_HDR.jpg,2,6,0.04485958302514794,0.4955128205128205,0.35,0.32043269230769234,0.6415865384615385,3120,4160
81,IMG_20180925_145438.jpg,2,4,0.02880601269723865,0.41754807692307694,0.2612980769230769,0.3541666666666667,0.3935897435897436,4160,3120
82,IMG_20180925_145458.jpg,1,6,0.03410996055226825,0.3730769230769231,0.48397435897435903,0.6064903846153846,0.871875,3120,4160
83,IMG_20180925_145620_HDR.jpg,1,5,0.05051158777120315,0.5560897435897436,1.132051282051282,0.2865384615384615,0.5776442307692308,3120,4160
84,IMG_20180925_145633.jpg,2,2,0.03898129314595662,0.26995192307692306,0.13497596153846153,0.2522435897435897,0.4157051282051282,4160,3120
85,IMG_20180925_145640_HDR.jpg,3,11,0.12717602009368836,0.8456730769230769,0.4927083333333334,0.5868589743589744,1.4442307692307692,4160,3120
86,IMG_20180925_145734.jpg,2,10,0.10296878852317554,0.5932692307692308,0.5831730769230771,0.7487179487179487,1.6727564102564103,4160,3120
87,IMG_20180925_145814_HDR.jpg,1,10,0.17347236347386588,0.7225961538461538,1.2557692307692307,0.6564102564102564,1.6516025641025638,4160,3120
88,IMG_20180925_145854_HDR.jpg,1,6,0.03940947824211045,0.5514423076923077,0.6209134615384615,0.6983974358974359,0.9810897435897435,4160,3120
89,IMG_20180925_145930_HDR.jpg,1,3,0.007188270463510849,0.26153846153846155,0.2955128205128205,0.0875,0.12163461538461535,3120,4160
